model,condition,gene,context,perturbation_label,n_pairs,pair_latent_mse,centroid_latent_mse,effect_cosine,rbf_mmd
identity,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.860623836517334,0.013767203316092491,,0.04715275764465332
identity,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.6509445905685425,0.010719796642661095,,0.09448873996734619
identity,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,0.9977312088012695,0.010602036491036415,,0.09197580814361572
identity,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.6879475116729736,0.009679135866463184,,0.10938477516174316
identity,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.6014454364776611,0.010959701612591743,,0.05327129364013672
identity,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.6077587604522705,0.00711679644882679,,0.08252185583114624
identity,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.7318034172058105,0.011977314949035645,,0.05939406156539917
identity,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.6242256760597229,0.009609963744878769,,0.06729716062545776
identity,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.7505162954330444,0.01054694876074791,,0.05480283498764038
identity,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.5400409698486328,0.00820168387144804,,0.09498506784439087
identity,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,1.055638313293457,0.010211842134594917,,0.06752806901931763
identity,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.5886915922164917,0.014683028683066368,,0.10853719711303711
identity,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.888085126876831,0.014180583879351616,,0.09220367670059204
identity,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.5293207764625549,0.009821195155382156,,0.0902407169342041
identity,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,1.2869091033935547,0.015676215291023254,,0.07255953550338745
identity,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.5897274017333984,0.010875278152525425,,0.06554639339447021
identity,LAT|stimulated|LAT_2,LAT,stimulated,LAT_2,220,1.343400001525879,0.02170955389738083,,0.07753002643585205
identity,LAT|unstimulated|LAT_2,LAT,unstimulated,LAT_2,220,0.670372486114502,0.01001204177737236,,0.0931198000907898
identity,LCK|stimulated|LCK_2,LCK,stimulated,LCK_2,220,1.2395212650299072,0.02085319720208645,,0.07732713222503662
identity,LCK|unstimulated|LCK_2,LCK,unstimulated,LCK_2,220,0.7198343276977539,0.015794439241290092,,0.07553774118423462
identity,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.891234278678894,0.0122804194688797,,0.08297330141067505
identity,NFAT5|unstimulated|NFAT5_2,NFAT5,unstimulated,NFAT5_2,220,0.4231078028678894,0.0067209964618086815,,0.10775387287139893
identity,NFATC1|stimulated|NFATC1_2,NFATC1,stimulated,NFATC1_2,220,1.0213543176651,0.009321413934230804,,0.060423851013183594
identity,NFATC1|unstimulated|NFATC1_2,NFATC1,unstimulated,NFATC1_2,120,0.7458776235580444,0.010842852294445038,,0.12018448114395142
identity,NFKB1|stimulated|NFKB1_2,NFKB1,stimulated,NFKB1_2,220,0.9092156887054443,0.00851428136229515,,0.056879401206970215
identity,NFKB1|unstimulated|NFKB1_2,NFKB1,unstimulated,NFKB1_2,220,0.49422475695610046,0.009850461035966873,,0.09740793704986572
identity,NFKB2|stimulated|NFKB2_2,NFKB2,stimulated,NFKB2_2,220,0.8368010520935059,0.006813685875386,,0.06156516075134277
identity,NFKB2|unstimulated|NFKB2_2,NFKB2,unstimulated,NFKB2_2,220,0.6088501811027527,0.00887017697095871,,0.08336210250854492
identity,NR4A1|stimulated|NR4A1_2,NR4A1,stimulated,NR4A1_2,170,0.9089280366897583,0.022291231900453568,,0.039123594760894775
identity,PTPN11|stimulated|PTPN11_2,PTPN11,stimulated,PTPN11_2,220,1.1828083992004395,0.017397098243236542,,0.04011380672454834
identity,PTPN11|unstimulated|PTPN11_2,PTPN11,unstimulated,PTPN11_2,220,0.6233444213867188,0.006882638204842806,,0.1019933819770813
identity,PTPN6|stimulated|PTPN6_2,PTPN6,stimulated,PTPN6_2,220,1.2314836978912354,0.017628539353609085,,0.06835919618606567
identity,PTPN6|unstimulated|PTPN6_2,PTPN6,unstimulated,PTPN6_2,220,0.46511560678482056,0.007501947693526745,,0.12488555908203125
identity,RELA|stimulated|RELA_2,RELA,stimulated,RELA_2,220,0.6109755039215088,0.007646387442946434,,0.07262569665908813
identity,RELA|unstimulated|RELA_2,RELA,unstimulated,RELA_2,189,0.855077862739563,0.016912885010242462,,0.1080026626586914
identity,RUNX2|stimulated|RUNX2_2,RUNX2,stimulated,RUNX2_2,220,0.9623970985412598,0.012623109854757786,,0.07127857208251953
identity,RUNX2|unstimulated|RUNX2_2,RUNX2,unstimulated,RUNX2_2,220,0.6388154029846191,0.012241585180163383,,0.10849636793136597
identity,ZAP70|stimulated|ZAP70_2,ZAP70,stimulated,ZAP70_2,220,0.7489660978317261,0.01653878577053547,,0.07535308599472046
identity,ZAP70|unstimulated|ZAP70_2,ZAP70,unstimulated,ZAP70_2,220,0.644620418548584,0.01359507068991661,,0.07627105712890625
global_mean_shift,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.8607076406478882,0.013851119205355644,0.12032755464315414,0.049583613872528076
global_mean_shift,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.6502219438552856,0.009997222572565079,0.2622077763080597,0.09354740381240845
global_mean_shift,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,0.9986775517463684,0.011548485606908798,0.0017819403437897563,0.09601181745529175
global_mean_shift,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.6870453357696533,0.008777009323239326,0.3054291009902954,0.1091088056564331
global_mean_shift,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.6033680438995361,0.012882411479949951,-0.14890757203102112,0.05779367685317993
global_mean_shift,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.6072788238525391,0.006636924110352993,0.2753280997276306,0.08225750923156738
global_mean_shift,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.7339962124824524,0.014170183800160885,-0.18232284486293793,0.06449919939041138
global_mean_shift,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.6235520243644714,0.008936231024563313,0.26888567209243774,0.06719225645065308
global_mean_shift,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.7504445910453796,0.010475235059857368,0.16195785999298096,0.057755887508392334
global_mean_shift,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.5400838255882263,0.008244484663009644,0.16323108971118927,0.09530764818191528
global_mean_shift,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,1.0564700365066528,0.011043615639209747,0.020149141550064087,0.06937611103057861
global_mean_shift,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.5862541198730469,0.012245578691363335,0.4526849389076233,0.1068461537361145
global_mean_shift,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.888527512550354,0.014622929506003857,0.06993258744478226,0.09640389680862427
global_mean_shift,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.5281210541725159,0.00862150639295578,0.35172152519226074,0.08925008773803711
global_mean_shift,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,1.285738229751587,0.014505069702863693,0.2747112810611725,0.07381361722946167
global_mean_shift,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.5889663696289062,0.010114223696291447,0.26628807187080383,0.06505769491195679
global_mean_shift,LAT|stimulated|LAT_2,LAT,stimulated,LAT_2,220,1.3423205614089966,0.02063007652759552,0.22338657081127167,0.07910847663879395
global_mean_shift,LAT|unstimulated|LAT_2,LAT,unstimulated,LAT_2,220,0.6687513589859009,0.008390858769416809,0.4164081811904907,0.09188151359558105
global_mean_shift,LCK|stimulated|LCK_2,LCK,stimulated,LCK_2,220,1.2385560274124146,0.01988789811730385,0.21515308320522308,0.08111238479614258
global_mean_shift,LCK|unstimulated|LCK_2,LCK,unstimulated,LCK_2,220,0.7179023027420044,0.013862431049346924,0.37149152159690857,0.07471239566802979
global_mean_shift,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.8913322687149048,0.012378450483083725,0.12534581124782562,0.086589515209198
global_mean_shift,NFAT5|unstimulated|NFAT5_2,NFAT5,unstimulated,NFAT5_2,220,0.42305347323417664,0.00666666217148304,0.19945956766605377,0.10843837261199951
global_mean_shift,NFATC1|stimulated|NFATC1_2,NFATC1,stimulated,NFATC1_2,220,1.0214370489120483,0.009404122829437256,0.14643548429012299,0.06255233287811279
global_mean_shift,NFATC1|unstimulated|NFATC1_2,NFATC1,unstimulated,NFATC1_2,120,0.7470165491104126,0.011981768533587456,-0.02809993177652359,0.12103527784347534
global_mean_shift,NFKB1|stimulated|NFKB1_2,NFKB1,stimulated,NFKB1_2,220,0.9103165864944458,0.009615106508135796,-0.025041058659553528,0.05979108810424805
global_mean_shift,NFKB1|unstimulated|NFKB1_2,NFKB1,unstimulated,NFKB1_2,220,0.4930979907512665,0.008723655715584755,0.33933448791503906,0.09653651714324951
global_mean_shift,NFKB2|stimulated|NFKB2_2,NFKB2,stimulated,NFKB2_2,220,0.8384222984313965,0.00843490194529295,-0.12984435260295868,0.06538540124893188
global_mean_shift,NFKB2|unstimulated|NFKB2_2,NFKB2,unstimulated,NFKB2_2,220,0.6081638932228088,0.008183935657143593,0.2820197641849518,0.08343076705932617
global_mean_shift,NR4A1|stimulated|NR4A1_2,NR4A1,stimulated,NR4A1_2,170,0.9090614914894104,0.02242467552423477,0.08920354396104813,0.041570305824279785
global_mean_shift,PTPN11|stimulated|PTPN11_2,PTPN11,stimulated,PTPN11_2,220,1.1812052726745605,0.015793904662132263,0.31369128823280334,0.04047173261642456
global_mean_shift,PTPN11|unstimulated|PTPN11_2,PTPN11,unstimulated,PTPN11_2,220,0.6230690479278564,0.006607235874980688,0.24015399813652039,0.10157132148742676
global_mean_shift,PTPN6|stimulated|PTPN6_2,PTPN6,stimulated,PTPN6_2,220,1.229992389678955,0.01613718271255493,0.29801705479621887,0.06937164068222046
global_mean_shift,PTPN6|unstimulated|PTPN6_2,PTPN6,unstimulated,PTPN6_2,220,0.4657731354236603,0.00815946701914072,0.056011684238910675,0.12554770708084106
global_mean_shift,RELA|stimulated|RELA_2,RELA,stimulated,RELA_2,220,0.6128717064857483,0.00954253226518631,-0.17336580157279968,0.07810038328170776
global_mean_shift,RELA|unstimulated|RELA_2,RELA,unstimulated,RELA_2,189,0.8544843196868896,0.016319306567311287,0.19272644817829132,0.10782778263092041
global_mean_shift,RUNX2|stimulated|RUNX2_2,RUNX2,stimulated,RUNX2_2,220,0.9630225896835327,0.013248599134385586,0.0477859228849411,0.07482373714447021
global_mean_shift,RUNX2|unstimulated|RUNX2_2,RUNX2,unstimulated,RUNX2_2,220,0.6372131109237671,0.010639267042279243,0.37382951378822327,0.10770690441131592
global_mean_shift,ZAP70|stimulated|ZAP70_2,ZAP70,stimulated,ZAP70_2,220,0.7475125789642334,0.015085303224623203,0.302920401096344,0.07633286714553833
global_mean_shift,ZAP70|unstimulated|ZAP70_2,ZAP70,unstimulated,ZAP70_2,220,0.6428108811378479,0.011785423383116722,0.3834606409072876,0.07503396272659302
gene_context_shift,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.8649899363517761,0.01813333109021187,0.15826964378356934,0.06205785274505615
gene_context_shift,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.6530557870864868,0.012831074185669422,0.2780962884426117,0.09994310140609741
gene_context_shift,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,1.010867714881897,0.023738548159599304,0.039602406322956085,0.11393958330154419
gene_context_shift,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.7002306580543518,0.02196226455271244,-0.156353160738945,0.1232982873916626
gene_context_shift,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.6046825647354126,0.014196854084730148,0.3845309615135193,0.06602990627288818
gene_context_shift,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.6142312288284302,0.013589292764663696,0.17580723762512207,0.09380334615707397
gene_context_shift,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.7361198663711548,0.016293788328766823,0.2471330612897873,0.07292062044143677
gene_context_shift,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.6433466672897339,0.02873094193637371,-0.08409745246171951,0.09373366832733154
gene_context_shift,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.7598260641098022,0.019856691360473633,-0.027719646692276,0.0739096999168396
gene_context_shift,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.5505561232566833,0.018716778606176376,0.005207193549722433,0.11081862449645996
gene_context_shift,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,1.0594868659973145,0.014060424640774727,0.24971531331539154,0.07949745655059814
gene_context_shift,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.5970773696899414,0.023068834096193314,0.09181009978055954,0.11973339319229126
gene_context_shift,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.8898763656616211,0.015971822664141655,0.3828967213630676,0.10874152183532715
gene_context_shift,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.5330473184585571,0.01354770828038454,0.27807047963142395,0.0963904857635498
gene_context_shift,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,1.2907004356384277,0.01946732960641384,0.39371177554130554,0.09346455335617065
gene_context_shift,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.6069022417068481,0.02805013209581375,0.09091503918170929,0.08812552690505981
gene_context_shift,LAT|stimulated|LAT_2,LAT,stimulated,LAT_2,220,1.3527454137802124,0.031054826453328133,0.21360181272029877,0.10659593343734741
gene_context_shift,LAT|unstimulated|LAT_2,LAT,unstimulated,LAT_2,220,0.6690517663955688,0.008691314607858658,0.5470522046089172,0.09760797023773193
gene_context_shift,LCK|stimulated|LCK_2,LCK,stimulated,LCK_2,220,1.2468714714050293,0.02820325270295143,0.49964967370033264,0.1364758014678955
gene_context_shift,LCK|unstimulated|LCK_2,LCK,unstimulated,LCK_2,220,0.7193453907966614,0.01530549768358469,0.4322824478149414,0.08024752140045166
gene_context_shift,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.9027764797210693,0.023822633549571037,0.10543356090784073,0.10783106088638306
gene_context_shift,NFAT5|unstimulated|NFAT5_2,NFAT5,unstimulated,NFAT5_2,220,0.44026699662208557,0.023880183696746826,0.05847857519984245,0.13780218362808228
gene_context_shift,NFATC1|stimulated|NFATC1_2,NFATC1,stimulated,NFATC1_2,220,1.0310349464416504,0.019001951441168785,0.08258429169654846,0.08204793930053711
gene_context_shift,NFATC1|unstimulated|NFATC1_2,NFATC1,unstimulated,NFATC1_2,120,0.7582700252532959,0.023235328495502472,-0.06978180259466171,0.13491106033325195
gene_context_shift,NFKB1|stimulated|NFKB1_2,NFKB1,stimulated,NFKB1_2,220,0.9172794818878174,0.016578108072280884,0.19309306144714355,0.07023411989212036
