split,gene,context,perturbation_label,pairs,control_cells_available,target_cells_available,target_pool_cells,pairing_method,cost_median,transport_entropy,row_mass_abs_error,col_mass_abs_error
train,DOK2,stimulated,DOK2_1,220,2990,387,387,sinkhorn,53.306419372558594,9.93206208399931,0.00014660345527153104,1.0051982932501266e-18
train,DOK2,unstimulated,DOK2_1,220,1507,666,440,sinkhorn,76.51287841796875,10.210722452674935,1.1126683023885747e-10,8.299074811207225e-19
train,EGR1,stimulated,EGR1_1,220,2990,344,344,sinkhorn,73.1634521484375,9.993330830301465,3.670812199346729e-10,1.129587379705828e-18
train,EGR1,unstimulated,EGR1_1,220,1507,465,440,sinkhorn,70.49256896972656,10.200144338287211,1.382181964380173e-09,8.673617379884035e-19
train,EGR2,stimulated,EGR2_1,220,2990,280,280,sinkhorn,70.84915161132812,9.690967521039287,5.903285484338474e-11,1.212757572937357e-18
train,EGR2,unstimulated,EGR2_1,220,1507,523,440,sinkhorn,69.61558532714844,10.154164972090209,1.8605242938141647e-12,8.673617379884035e-19
train,EGR3,stimulated,EGR3_1,220,2990,653,440,sinkhorn,65.59494018554688,10.013211589158173,2.652419097982741e-05,8.338500344752152e-19
train,EGR3,unstimulated,EGR3_1,220,1507,332,332,sinkhorn,66.44953918457031,9.914383412552684,1.1783916251244126e-13,1.058076818931637e-18
train,EGR4,stimulated,EGR4_1,220,2990,937,440,sinkhorn,65.80577850341797,10.152588126588533,2.0477132887759197e-06,9.38327698369273e-19
train,EGR4,unstimulated,EGR4_1,220,1507,315,315,sinkhorn,73.66246795654297,9.848869279146914,3.0126351224286034e-15,1.0573552615477682e-18
train,FOS,stimulated,FOS_1,220,2990,254,254,sinkhorn,61.925437927246094,9.55406943475019,1.6568746226503204e-09,1.3556795668558907e-18
train,FOS,unstimulated,FOS_1,220,1507,453,440,sinkhorn,70.62848663330078,10.155192749813958,1.0376986782569554e-08,9.01859079840215e-19
train,JUN,stimulated,JUN_1,220,2990,604,440,sinkhorn,73.04193115234375,10.136790929649832,2.4245121618630565e-06,8.565197162635485e-19
train,JUN,unstimulated,JUN_1,220,1507,333,333,sinkhorn,82.58335876464844,9.932134703352496,9.87254509519793e-14,9.923868533741194e-19
train,JUND,stimulated,JUND_1,220,2990,548,440,sinkhorn,67.93800354003906,10.143658449369966,2.0661157024793414e-05,8.74261206358766e-19
train,JUND,unstimulated,JUND_1,220,1507,297,297,sinkhorn,76.42083740234375,9.889786961866939,1.980122627575934e-12,1.2426344091382685e-18
train,LAT,stimulated,LAT_1,220,2990,226,226,sinkhorn,48.518104553222656,9.398090964918357,7.787242883236682e-05,1.5888838917132702e-18
train,LAT,unstimulated,LAT_1,220,1507,837,440,sinkhorn,80.84039306640625,10.219851381526384,8.778095043778093e-17,8.979165264857223e-19
train,LCK,stimulated,LCK_1,220,2990,392,392,sinkhorn,78.46986389160156,10.11535092353461,1.7573299163191667e-07,9.259971616024155e-19
train,LCK,unstimulated,LCK_1,220,1507,262,262,sinkhorn,76.62445068359375,9.734397757657378,7.649321911364713e-14,1.3192505823983925e-18
train,NFAT5,stimulated,NFAT5_1,220,2990,249,249,sinkhorn,62.698814392089844,9.5494242720878,2.688440224489491e-05,1.320201199588775e-18
train,NFAT5,unstimulated,NFAT5_1,131,1507,131,131,sinkhorn,62.60931396484375,8.573909212072564,1.894433810262659e-08,1.9797035088437607e-18
train,NFATC1,stimulated,NFATC1_1,220,2990,556,440,sinkhorn,46.072410583496094,10.070609088678907,0.0003512983924763048,8.151229060413747e-19
train,NFATC1,unstimulated,NFATC1_1,140,1507,140,140,sinkhorn,64.02429962158203,8.805816481896844,5.835849528699722e-07,2.143622581028483e-18
train,NFKB1,stimulated,NFKB1_1,216,2990,216,216,sinkhorn,59.899810791015625,9.44199498159687,4.924028499396817e-07,1.5580386774976878e-18
train,NFKB1,unstimulated,NFKB1_1,173,1507,173,173,sinkhorn,65.75112915039062,9.056363717391037,1.171073416372768e-06,1.8650784192583013e-18
train,NFKB2,stimulated,NFKB2_1,194,2990,194,194,sinkhorn,72.36055755615234,9.29400483243063,9.015058071186387e-07,1.7570781599455803e-18
train,NFKB2,unstimulated,NFKB2_1,167,1507,167,167,sinkhorn,64.21556091308594,8.881603234331656,2.0471785878780496e-06,1.8645680475319575e-18
train,NR4A1,stimulated,NR4A1_1,220,2990,434,434,sinkhorn,51.21681213378906,10.093342794912388,4.0217981908517166e-05,8.71358796688811e-19
train,NR4A1,unstimulated,NR4A1_1,220,1507,357,357,sinkhorn,61.336448669433594,9.976475940004219,1.0503505832204062e-06,1.0750912298595759e-18
train,PTPN11,stimulated,PTPN11_1,220,2990,419,419,sinkhorn,62.41680145263672,9.99781955274155,0.00011282758662632686,9.563749951089319e-19
train,PTPN11,unstimulated,PTPN11_1,220,1507,665,440,sinkhorn,65.63215637207031,10.131777495034054,1.5272467509915452e-09,8.732755680201427e-19
train,PTPN6,stimulated,PTPN6_1,220,2990,492,440,sinkhorn,77.90481567382812,10.152930941440268,1.032620608383818e-08,9.058016331947079e-19
train,PTPN6,unstimulated,PTPN6_1,220,1507,366,366,sinkhorn,65.41354370117188,9.98779955925047,1.304985160337098e-17,1.037990276609073e-18
train,RELA,stimulated,RELA_1,220,2990,224,224,sinkhorn,53.5523567199707,9.45888645531777,1.4809872203650902e-06,1.6727690661204926e-18
train,RELA,unstimulated,RELA_1,220,1507,225,225,sinkhorn,68.60578918457031,9.584080803735727,9.51867460128963e-11,1.7231586528036283e-18
train,RUNX2,stimulated,RUNX2_1,126,2990,126,126,sinkhorn,49.14082336425781,8.377351893297325,3.409611837125349e-06,2.340499927905216e-18
train,ZAP70,stimulated,ZAP70_1,177,2990,177,177,sinkhorn,51.055320739746094,9.049026571068914,1.2655764327039763e-05,1.98464126488872e-18
train,ZAP70,unstimulated,ZAP70_1,220,1507,509,440,sinkhorn,72.97750854492188,10.158365820315915,2.476496985012165e-08,8.75246844697389e-19
heldout_guide,DOK2,stimulated,DOK2_2,220,2990,518,440,sinkhorn,51.82638168334961,10.049366616908323,4.077143594955381e-06,8.210367360731138e-19
heldout_guide,DOK2,unstimulated,DOK2_2,220,1507,268,268,sinkhorn,69.63731384277344,9.714853022489988,2.86210259236778e-09,1.305897243575824e-18
heldout_guide,EGR1,stimulated,EGR1_2,220,2990,396,396,sinkhorn,72.30007934570312,10.08718660003512,4.0472510392783005e-08,1.0305396407160199e-18
heldout_guide,EGR1,unstimulated,EGR1_2,220,1507,400,400,sinkhorn,73.74342346191406,10.130524491958127,4.164803872918762e-06,9.226560487851643e-19
heldout_guide,EGR2,stimulated,EGR2_2,220,2990,352,352,sinkhorn,62.49353790283203,9.969215799777034,2.973319570352053e-12,1.034920255554345e-18
heldout_guide,EGR2,unstimulated,EGR2_2,220,1507,382,382,sinkhorn,71.47721099853516,10.033203962105523,1.1757963605277507e-14,9.888377929160988e-19
heldout_guide,EGR3,stimulated,EGR3_2,220,2990,529,440,sinkhorn,69.37276458740234,10.222523395325828,1.1329307283157595e-07,8.9101705811536e-19
heldout_guide,EGR3,unstimulated,EGR3_2,220,1507,614,440,sinkhorn,63.25566864013672,10.120749126058653,8.403309251469549e-08,9.038303565174614e-19
heldout_guide,EGR4,stimulated,EGR4_2,220,2990,310,310,sinkhorn,66.55880737304688,9.81789660039273,7.597973873633679e-05,1.1135805539334988e-18
heldout_guide,EGR4,unstimulated,EGR4_2,220,1507,244,244,sinkhorn,79.44313049316406,9.725708225156547,7.979000312420673e-13,1.397021159956732e-18
heldout_guide,FOS,stimulated,FOS_2,220,2990,788,440,sinkhorn,53.036094665527344,9.99502803468842,6.572127274740527e-05,8.2793620444347615e-19
heldout_guide,FOS,unstimulated,FOS_2,220,1507,650,440,sinkhorn,78.49542999267578,10.169473228476457,3.2631498434541254e-12,8.86088866422244e-19
heldout_guide,JUN,stimulated,JUN_2,212,2990,212,212,sinkhorn,82.81011199951172,9.432844187731146,2.7907720199365557e-06,1.7960934102684396e-18
heldout_guide,JUN,unstimulated,JUN_2,220,1507,373,373,sinkhorn,75.52412414550781,9.9804951516371,7.088055103003391e-10,9.906061672468095e-19
heldout_guide,JUND,stimulated,JUND_2,220,2990,640,440,sinkhorn,76.92646789550781,10.206908741060097,1.0709101614882704e-10,8.998878031629688e-19
heldout_guide,JUND,unstimulated,JUND_2,220,1507,837,440,sinkhorn,80.34303283691406,10.24270630793767,2.0394710226190326e-15,9.38327698369273e-19
heldout_guide,LAT,stimulated,LAT_2,220,2990,966,440,sinkhorn,74.45984649658203,10.141663003190127,6.527115532060497e-08,9.077729098719542e-19
heldout_guide,LAT,unstimulated,LAT_2,220,1507,823,440,sinkhorn,78.47518920898438,10.201399146290743,5.382001530441292e-10,8.969308881470992e-19
heldout_guide,LCK,stimulated,LCK_2,220,2990,882,440,sinkhorn,70.6585464477539,10.223850895789852,6.379673634265647e-10,9.06787271533331e-19
heldout_guide,LCK,unstimulated,LCK_2,220,1507,897,440,sinkhorn,64.52198028564453,10.142023846185287,1.319400519987063e-06,8.624335462952876e-19
heldout_guide,NFAT5,stimulated,NFAT5_2,220,2990,719,440,sinkhorn,59.40457534790039,10.11224549881927,5.573281152436122e-09,8.2793620444347615e-19
heldout_guide,NFAT5,unstimulated,NFAT5_2,220,1507,321,321,sinkhorn,60.992828369140625,9.88217077015051,4.364170010222197e-16,1.1929601474201874e-18
heldout_guide,NFATC1,stimulated,NFATC1_2,220,2990,585,440,sinkhorn,37.113861083984375,10.13521594285708,4.612694832893517e-05,8.673617379884035e-19
heldout_guide,NFATC1,unstimulated,NFATC1_2,120,1507,120,120,sinkhorn,82.52430725097656,8.498126493857441,3.874215763014869e-18,2.3129646346357427e-18
heldout_guide,NFKB1,stimulated,NFKB1_2,220,2990,588,440,sinkhorn,65.14801025390625,10.040013248334972,8.303451099171206e-05,8.624335462952876e-19
heldout_guide,NFKB1,unstimulated,NFKB1_2,220,1507,392,392,sinkhorn,72.69847106933594,10.145588291561763,1.7150107092043434e-18,1.0510123100624788e-18
heldout_guide,NFKB2,stimulated,NFKB2_2,220,2990,512,440,sinkhorn,58.23237228393555,10.062254556620399,8.264462810255805e-05,8.762324830360122e-19
heldout_guide,NFKB2,unstimulated,NFKB2_2,220,1507,345,345,sinkhorn,75.40797424316406,9.982649275011394,4.898503872101264e-14,1.0785454654986235e-18
heldout_guide,NR4A1,stimulated,NR4A1_2,170,2990,170,170,sinkhorn,57.74700927734375,8.983776751538743,6.920415224914825e-05,1.780642626811487e-18
heldout_guide,PTPN11,stimulated,PTPN11_2,220,2990,668,440,sinkhorn,43.350799560546875,10.086934374993064,4.751456326070609e-05,8.515915245704326e-19
heldout_guide,PTPN11,unstimulated,PTPN11_2,220,1507,631,440,sinkhorn,68.61763000488281,10.170589142052465,6.332278008055647e-11,8.259649277662297e-19
heldout_guide,PTPN6,stimulated,PTPN6_2,220,2990,567,440,sinkhorn,42.964080810546875,10.138924938444678,0.00016528925619834736,8.476489712159398e-19
heldout_guide,PTPN6,unstimulated,PTPN6_2,220,1507,373,373,sinkhorn,68.74014282226562,10.102903521476344,2.094178101921302e-12,9.754912844132313e-19
heldout_guide,RELA,stimulated,RELA_2,220,2990,385,385,sinkhorn,54.391998291015625,10.0003083296613,9.64084383959652e-10,9.03407940086623e-19
heldout_guide,RELA,unstimulated,RELA_2,189,1507,189,189,sinkhorn,68.75314331054688,9.234824629107036,6.622585725589292e-07,1.587868578539617e-18
heldout_guide,RUNX2,stimulated,RUNX2_2,220,2990,260,260,sinkhorn,61.95307159423828,9.608726480024467,1.8629843715719884e-09,1.1642663329152031e-18
heldout_guide,RUNX2,unstimulated,RUNX2_2,220,1507,382,382,sinkhorn,75.13182067871094,10.104907808753223,6.788006085647764e-11,9.967848245468826e-19
heldout_guide,ZAP70,stimulated,ZAP70_2,220,2990,722,440,sinkhorn,67.09190368652344,10.183102627187225,5.6579396606097966e-08,8.230080127503602e-19
heldout_guide,ZAP70,unstimulated,ZAP70_2,220,1507,567,440,sinkhorn,70.45632934570312,10.133510494696374,1.1050415626913352e-06,8.703186530042731e-19
