model,condition,gene,context,perturbation_label,n_pairs,pair_latent_mse,centroid_latent_mse,effect_cosine,rbf_mmd,condition_mean_pair_latent_mse,condition_centered_pair_latent_mse
identity,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.860623836517334,0.0137672033160924,,0.0471527576446533,0.6188226252794266,0.24180121123790743
identity,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.6509445905685425,0.010719796642661,,0.0944887399673461,0.47847645580768583,0.17246813476085665
identity,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,0.9977312088012696,0.0106020364910364,,0.0919758081436157,0.6749169260263443,0.3228142827749253
identity,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.6879475116729736,0.0096791358664631,,0.1093847751617431,0.5243554174900055,0.16359209418296816
identity,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.6014454364776611,0.0109597016125917,,0.0532712936401367,0.4514760047197342,0.14996943175792693
identity,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.6077587604522705,0.0071167964488267,,0.0825218558311462,0.45357854962348937,0.15418021082878114
identity,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.7318034172058105,0.0119773149490356,,0.0593940615653991,0.5626832127571106,0.1691202044486999
identity,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.6242256760597229,0.0096099637448787,,0.0672971606254577,0.4896995067596436,0.13452616930007932
identity,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.7505162954330444,0.0105469487607479,,0.0548028349876403,0.5733524680137634,0.17716382741928105
identity,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.5400409698486328,0.008201683871448,,0.0949850678443908,0.3991843819618225,0.14085658788681032
identity,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,1.055638313293457,0.0102118421345949,,0.0675280690193176,0.7448100358247757,0.31082827746868136
identity,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.5886915922164917,0.0146830286830663,,0.1085371971130371,0.4280483067035675,0.16064328551292417
identity,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.888085126876831,0.0141805838793516,,0.092203676700592,0.6073170870542526,0.2807680398225785
identity,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.5293207764625549,0.0098211951553821,,0.0902407169342041,0.3817464023828506,0.1475743740797043
identity,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,1.286909103393555,0.0156762152910232,,0.0725595355033874,0.9765030145645142,0.31040608882904075
identity,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.5897274017333984,0.0108752781525254,,0.0655463933944702,0.4575215667486191,0.13220583498477934
identity,LAT|stimulated|LAT_2,LAT,stimulated,LAT_2,220,1.343400001525879,0.0217095538973808,,0.077530026435852,0.9029881030321121,0.44041189849376683
identity,LAT|unstimulated|LAT_2,LAT,unstimulated,LAT_2,220,0.670372486114502,0.0100120417773723,,0.0931198000907898,0.472952663898468,0.19741982221603394
identity,LCK|stimulated|LCK_2,LCK,stimulated,LCK_2,220,1.2395212650299072,0.0208531972020864,,0.0773271322250366,0.8282479584217072,0.41127330660820005
identity,LCK|unstimulated|LCK_2,LCK,unstimulated,LCK_2,220,0.7198343276977539,0.01579443924129,,0.0755377411842346,0.5443524062633515,0.17548192143440244
identity,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.891234278678894,0.0122804194688797,,0.082973301410675,0.6076467245817184,0.2835875540971756
identity,NFAT5|unstimulated|NFAT5_2,NFAT5,unstimulated,NFAT5_2,220,0.4231078028678894,0.0067209964618086,,0.1077538728713989,0.3123344331979751,0.1107733696699143
identity,NFATC1|stimulated|NFATC1_2,NFATC1,stimulated,NFATC1_2,220,1.0213543176651,0.0093214139342308,,0.0604238510131835,0.722958219051361,0.29839609861373906
identity,NFATC1|unstimulated|NFATC1_2,NFATC1,unstimulated,NFATC1_2,120,0.7458776235580444,0.010842852294445,,0.1201844811439514,0.5332326292991638,0.21264499425888062
identity,NFKB1|stimulated|NFKB1_2,NFKB1,stimulated,NFKB1_2,220,0.9092156887054444,0.0085142813622951,,0.0568794012069702,0.6850308060646058,0.2241848826408387
identity,NFKB1|unstimulated|NFKB1_2,NFKB1,unstimulated,NFKB1_2,220,0.4942247569561004,0.0098504610359668,,0.0974079370498657,0.36098282039165497,0.13324193656444544
identity,NFKB2|stimulated|NFKB2_2,NFKB2,stimulated,NFKB2_2,220,0.8368010520935059,0.006813685875386,,0.0615651607513427,0.632004463672638,0.2047965884208679
identity,NFKB2|unstimulated|NFKB2_2,NFKB2,unstimulated,NFKB2_2,220,0.6088501811027527,0.0088701769709587,,0.0833621025085449,0.4921493411064148,0.1167008399963379
identity,NR4A1|stimulated|NR4A1_2,NR4A1,stimulated,NR4A1_2,170,0.9089280366897584,0.0222912319004535,,0.0391235947608947,0.7573366045951844,0.15159143209457404
identity,PTPN11|stimulated|PTPN11_2,PTPN11,stimulated,PTPN11_2,220,1.1828083992004397,0.0173970982432365,,0.0401138067245483,0.8686555206775666,0.3141528785228731
identity,PTPN11|unstimulated|PTPN11_2,PTPN11,unstimulated,PTPN11_2,220,0.6233444213867188,0.0068826382048428,,0.1019933819770813,0.43938708305358887,0.18395733833312988
identity,PTPN6|stimulated|PTPN6_2,PTPN6,stimulated,PTPN6_2,220,1.2314836978912354,0.017628539353609,,0.0683591961860656,0.8789913177490234,0.35249238014221196
identity,PTPN6|unstimulated|PTPN6_2,PTPN6,unstimulated,PTPN6_2,220,0.4651156067848205,0.0075019476935267,,0.1248855590820312,0.31928043514490123,0.14583517163991927
identity,RELA|stimulated|RELA_2,RELA,stimulated,RELA_2,220,0.6109755039215088,0.0076463874429464,,0.0726256966590881,0.4360369324684143,0.1749385714530945
identity,RELA|unstimulated|RELA_2,RELA,unstimulated,RELA_2,189,0.855077862739563,0.0169128850102424,,0.1080026626586914,0.6490939617156982,0.20598390102386477
identity,RUNX2|stimulated|RUNX2_2,RUNX2,stimulated,RUNX2_2,220,0.9623970985412598,0.0126231098547577,,0.0712785720825195,0.6799453556537628,0.28245174288749697
identity,RUNX2|unstimulated|RUNX2_2,RUNX2,unstimulated,RUNX2_2,220,0.6388154029846191,0.0122415851801633,,0.1084963679313659,0.4659282833337784,0.17288711965084075
identity,ZAP70|stimulated|ZAP70_2,ZAP70,stimulated,ZAP70_2,220,0.7489660978317261,0.0165387857705354,,0.0753530859947204,0.5488184690475464,0.2001476287841797
identity,ZAP70|unstimulated|ZAP70_2,ZAP70,unstimulated,ZAP70_2,220,0.644620418548584,0.0135950706899166,,0.0762710571289062,0.4854621231555939,0.1591582953929901
global_mean_shift,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.8607076406478882,0.0138511192053556,0.1203275546431541,0.049583613872528,0.6188226252794266,0.24188501536846163
global_mean_shift,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.6502219438552856,0.009997222572565,0.2622077763080597,0.0935474038124084,0.47847645580768583,0.17174548804759981
global_mean_shift,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,0.9986775517463684,0.0115484856069087,0.0017819403437897,0.0960118174552917,0.6749169260263443,0.32376062572002406
global_mean_shift,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.6870453357696533,0.0087770093232393,0.3054291009902954,0.1091088056564331,0.5243554174900055,0.16268991827964785
global_mean_shift,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.6033680438995361,0.0128824114799499,-0.1489075720310211,0.0577936768531799,0.4514760047197342,0.15189203917980193
global_mean_shift,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.6072788238525391,0.0066369241103529,0.2753280997276306,0.0822575092315673,0.45357854962348937,0.1537002742290497
global_mean_shift,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.7339962124824524,0.0141701838001608,-0.1823228448629379,0.0644991993904113,0.5626832127571106,0.17131299972534175
global_mean_shift,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.6235520243644714,0.0089362310245633,0.2688856720924377,0.067192256450653,0.4896995067596436,0.13385251760482786
global_mean_shift,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.7504445910453796,0.0104752350598573,0.1619578599929809,0.0577558875083923,0.5733524680137634,0.17709212303161626
global_mean_shift,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.5400838255882263,0.0082444846630096,0.1632310897111892,0.0953076481819152,0.3991843819618225,0.14089944362640383
global_mean_shift,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,1.0564700365066528,0.0110436156392097,0.020149141550064,0.0693761110305786,0.7448100358247757,0.31166000068187716
global_mean_shift,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.5862541198730469,0.0122455786913633,0.4526849389076233,0.1068461537361145,0.4280483067035675,0.15820581316947935
global_mean_shift,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.888527512550354,0.0146229295060038,0.0699325874447822,0.0964038968086242,0.6073170870542526,0.2812104254961014
global_mean_shift,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.5281210541725159,0.0086215063929557,0.3517215251922607,0.0892500877380371,0.3817464023828506,0.14637465178966524
global_mean_shift,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,1.285738229751587,0.0145050697028636,0.2747112810611725,0.0738136172294616,0.9765030145645142,0.30923521518707275
global_mean_shift,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.5889663696289062,0.0101142236962914,0.2662880718708038,0.0650576949119567,0.4575215667486191,0.13144480288028715
global_mean_shift,LAT|stimulated|LAT_2,LAT,stimulated,LAT_2,220,1.3423205614089966,0.0206300765275955,0.2233865708112716,0.0791084766387939,0.9029881030321121,0.4393324583768845
global_mean_shift,LAT|unstimulated|LAT_2,LAT,unstimulated,LAT_2,220,0.6687513589859009,0.0083908587694168,0.4164081811904907,0.091881513595581,0.472952663898468,0.19579869508743286
global_mean_shift,LCK|stimulated|LCK_2,LCK,stimulated,LCK_2,220,1.2385560274124146,0.0198878981173038,0.215153083205223,0.0811123847961425,0.8282479584217072,0.4103080689907074
global_mean_shift,LCK|unstimulated|LCK_2,LCK,unstimulated,LCK_2,220,0.7179023027420044,0.0138624310493469,0.3714915215969085,0.0747123956680297,0.5443524062633515,0.17354989647865293
global_mean_shift,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.8913322687149048,0.0123784504830837,0.1253458112478256,0.086589515209198,0.6076467245817184,0.28368554413318636
global_mean_shift,NFAT5|unstimulated|NFAT5_2,NFAT5,unstimulated,NFAT5_2,220,0.4230534732341766,0.006666662171483,0.1994595676660537,0.1084383726119995,0.3123344331979751,0.11071904003620148
global_mean_shift,NFATC1|stimulated|NFATC1_2,NFATC1,stimulated,NFATC1_2,220,1.0214370489120483,0.0094041228294372,0.1464354842901229,0.0625523328781127,0.722958219051361,0.2984788298606873
global_mean_shift,NFATC1|unstimulated|NFATC1_2,NFATC1,unstimulated,NFATC1_2,120,0.7470165491104126,0.0119817685335874,-0.0280999317765235,0.1210352778434753,0.5332326292991638,0.21378391981124878
global_mean_shift,NFKB1|stimulated|NFKB1_2,NFKB1,stimulated,NFKB1_2,220,0.9103165864944458,0.0096151065081357,-0.0250410586595535,0.059791088104248,0.6850308060646058,0.22528578042984004
global_mean_shift,NFKB1|unstimulated|NFKB1_2,NFKB1,unstimulated,NFKB1_2,220,0.4930979907512665,0.0087236557155847,0.339334487915039,0.0965365171432495,0.36098282039165497,0.1321151703596115
global_mean_shift,NFKB2|stimulated|NFKB2_2,NFKB2,stimulated,NFKB2_2,220,0.8384222984313965,0.0084349019452929,-0.1298443526029586,0.0653854012489318,0.632004463672638,0.20641783475875852
global_mean_shift,NFKB2|unstimulated|NFKB2_2,NFKB2,unstimulated,NFKB2_2,220,0.6081638932228088,0.0081839356571435,0.2820197641849518,0.0834307670593261,0.4921493411064148,0.11601455211639405
global_mean_shift,NR4A1|stimulated|NR4A1_2,NR4A1,stimulated,NR4A1_2,170,0.9090614914894104,0.0224246755242347,0.0892035439610481,0.0415703058242797,0.7573366045951844,0.15172488689422603
global_mean_shift,PTPN11|stimulated|PTPN11_2,PTPN11,stimulated,PTPN11_2,220,1.1812052726745603,0.0157939046621322,0.3136912882328033,0.0404717326164245,0.8686555206775666,0.31254975199699375
global_mean_shift,PTPN11|unstimulated|PTPN11_2,PTPN11,unstimulated,PTPN11_2,220,0.6230690479278564,0.0066072358749806,0.2401539981365203,0.1015713214874267,0.43938708305358887,0.18368196487426758
global_mean_shift,PTPN6|stimulated|PTPN6_2,PTPN6,stimulated,PTPN6_2,220,1.229992389678955,0.0161371827125549,0.2980170547962188,0.0693716406822204,0.8789913177490234,0.3510010719299317
global_mean_shift,PTPN6|unstimulated|PTPN6_2,PTPN6,unstimulated,PTPN6_2,220,0.4657731354236603,0.0081594670191407,0.0560116842389106,0.125547707080841,0.31928043514490123,0.14649270027875905
global_mean_shift,RELA|stimulated|RELA_2,RELA,stimulated,RELA_2,220,0.6128717064857483,0.0095425322651863,-0.1733658015727996,0.0781003832817077,0.4360369324684143,0.176834774017334
global_mean_shift,RELA|unstimulated|RELA_2,RELA,unstimulated,RELA_2,189,0.8544843196868896,0.0163193065673112,0.1927264481782913,0.1078277826309204,0.6490939617156982,0.20539035797119143
global_mean_shift,RUNX2|stimulated|RUNX2_2,RUNX2,stimulated,RUNX2_2,220,0.9630225896835328,0.0132485991343855,0.0477859228849411,0.0748237371444702,0.6799453556537628,0.28307723402977003
global_mean_shift,RUNX2|unstimulated|RUNX2_2,RUNX2,unstimulated,RUNX2_2,220,0.6372131109237671,0.0106392670422792,0.3738295137882232,0.1077069044113159,0.4659282833337784,0.1712848275899887
global_mean_shift,ZAP70|stimulated|ZAP70_2,ZAP70,stimulated,ZAP70_2,220,0.7475125789642334,0.0150853032246232,0.302920401096344,0.0763328671455383,0.5488184690475464,0.198694109916687
global_mean_shift,ZAP70|unstimulated|ZAP70_2,ZAP70,unstimulated,ZAP70_2,220,0.6428108811378479,0.0117854233831167,0.3834606409072876,0.075033962726593,0.4854621231555939,0.157348757982254
gene_context_shift,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.8649899363517761,0.0181333310902118,0.1582696437835693,0.0620578527450561,0.6188226252794266,0.24616731107234957
gene_context_shift,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.6530557870864868,0.0128310741856694,0.2780962884426117,0.0999431014060974,0.47847645580768583,0.174579331278801
gene_context_shift,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,1.010867714881897,0.0237385481595993,0.039602406322956,0.1139395833015441,0.6749169260263443,0.33595078885555263
gene_context_shift,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.7002306580543518,0.0219622645527124,-0.156353160738945,0.1232982873916626,0.5243554174900055,0.17587524056434634
gene_context_shift,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.6046825647354126,0.0141968540847301,0.3845309615135193,0.0660299062728881,0.4514760047197342,0.1532065600156784
gene_context_shift,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.6142312288284302,0.0135892927646636,0.175807237625122,0.0938033461570739,0.45357854962348937,0.1606526792049408
gene_context_shift,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.7361198663711548,0.0162937883287668,0.2471330612897873,0.0729206204414367,0.5626832127571106,0.17343665361404415
gene_context_shift,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.6433466672897339,0.0287309419363737,-0.0840974524617195,0.0937336683273315,0.4896995067596436,0.1536471605300903
gene_context_shift,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.7598260641098022,0.0198566913604736,-0.027719646692276,0.0739096999168396,0.5733524680137634,0.18647359609603886
gene_context_shift,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.5505561232566833,0.0187167786061763,0.0052071935497224,0.1108186244964599,0.3991843819618225,0.15137174129486086
gene_context_shift,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,1.0594868659973145,0.0140604246407747,0.2497153133153915,0.0794974565505981,0.7448100358247757,0.3146768301725388
gene_context_shift,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.5970773696899414,0.0230688340961933,0.0918100997805595,0.1197333931922912,0.4280483067035675,0.16902906298637388
gene_context_shift,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.8898763656616211,0.0159718226641416,0.3828967213630676,0.1087415218353271,0.6073170870542526,0.2825592786073685
gene_context_shift,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.5330473184585571,0.0135477082803845,0.2780704796314239,0.0963904857635498,0.3817464023828506,0.1513009160757065
gene_context_shift,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,1.2907004356384275,0.0194673296064138,0.3937117755413055,0.0934645533561706,0.9765030145645142,0.31419742107391335
gene_context_shift,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.6069022417068481,0.0280501320958137,0.0909150391817092,0.0881255269050598,0.4575215667486191,0.14938067495822904
gene_context_shift,LAT|stimulated|LAT_2,LAT,stimulated,LAT_2,220,1.3527454137802124,0.0310548264533281,0.2136018127202987,0.1065959334373474,0.9029881030321121,0.4497573107481003
gene_context_shift,LAT|unstimulated|LAT_2,LAT,unstimulated,LAT_2,220,0.6690517663955688,0.0086913146078586,0.5470522046089172,0.0976079702377319,0.472952663898468,0.19609910249710083
gene_context_shift,LCK|stimulated|LCK_2,LCK,stimulated,LCK_2,220,1.2468714714050293,0.0282032527029514,0.4996496737003326,0.1364758014678955,0.8282479584217072,0.4186235129833221
gene_context_shift,LCK|unstimulated|LCK_2,LCK,unstimulated,LCK_2,220,0.7193453907966614,0.0153054976835846,0.4322824478149414,0.0802475214004516,0.5443524062633515,0.17499298453330991
gene_context_shift,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.9027764797210692,0.023822633549571,0.1054335609078407,0.107831060886383,0.6076467245817184,0.2951297551393508
gene_context_shift,NFAT5|unstimulated|NFAT5_2,NFAT5,unstimulated,NFAT5_2,220,0.4402669966220855,0.0238801836967468,0.0584785751998424,0.1378021836280822,0.3123344331979751,0.1279325634241104
gene_context_shift,NFATC1|stimulated|NFATC1_2,NFATC1,stimulated,NFATC1_2,220,1.0310349464416504,0.0190019514411687,0.0825842916965484,0.0820479393005371,0.722958219051361,0.30807672739028935
gene_context_shift,NFATC1|unstimulated|NFATC1_2,NFATC1,unstimulated,NFATC1_2,120,0.7582700252532959,0.0232353284955024,-0.0697818025946617,0.1349110603332519,0.5332326292991638,0.22503739595413208
